name,triangles,faces,vertices,edges
323-R,617316,617316,1851948,1851948
324-L,858461,858461,2575383,2575383
324-R,956087,956087,2868261,2868261
325-L,882229,882229,2646687,2646687
325-R,916710,916710,2750130,2750130
327-L,930307,930307,2790921,2790921
327-R,880225,880225,2640675,2640675
328-R,840491,840491,2521473,2521473
329-L,874699,874699,2624097,2624097
329-R,864231,864231,2592693,2592693
33-L,1083244,1083244,555573,3249732
33-R,900104,900104,2700312,2700312
330-L,849494,849494,2548482,2548482
330-R,793380,793380,2380140,2380140
331-L,614117,614117,1842351,1842351
331-R,693524,693524,2080572,2080572
332-L,849734,849734,2549202,2549202
332-R,909471,909471,2728413,2728413
333-L,884474,884474,2653422,2653422
333-R,958381,958381,2875143,2875143
334-L,1016453,1016453,3049359,3049359
334-R,985859,985859,2957577,2957577
335-L,1439834,1439834,4319502,4319502
335-R,1424208,1424208,4272624,4272624
336-L,862543,862543,2587629,2587629
336-R,883288,883288,2649864,2649864
337-R,793934,793934,2381802,2381802
338-L,1200916,1200916,3602748,3602748
338-R,1129710,1129710,3389130,3389130
339-L,1128083,1128083,3384249,3384249
339-R,1224745,1224745,3674235,3674235
34-L,934023,934023,2802069,2802069
34-R,1071963,1071963,3215889,3215889
340-L,1059000,1059000,3177000,3177000
340-R,1407803,1407803,4223409,4223409
341-L,997392,997392,2992176,2992176
341-R,859208,859208,2577624,2577624
343-L,1201409,1201409,3604227,3604227
343-R,1254858,1254858,3764574,3764574
344-L,1688348,1688348,5065044,5065044
344-R,1492915,1492915,4478745,4478745
345-L,707787,707787,2123361,2123361
345-R,768724,768724,2306172,2306172
346-L,1111432,1111432,3334296,3334296
346-R,1074018,1074018,3222054,3222054
348-R,943747,943747,2831241,2831241
349-L,887157,887157,2661471,2661471
349-R,735926,735926,2207778,2207778
35-L,778095,778095,2334285,2334285
35-R,855804,855804,2567412,2567412
350-L,886162,886162,2658486,2658486
350-R,782476,782476,2347428,2347428
351-L,886636,886636,2659908,2659908
351-R,904752,904752,2714256,2714256
352-L,1059343,1059343,3178029,3178029
352-R,1065499,1065499,3196497,3196497
353-L,1414559,1414559,4243677,4243677
353-R,1352144,1352144,4056432,4056432
354-L,916906,916906,2750718,2750718
354-R,988511,988511,2965533,2965533
355-L,772954,772954,2318862,2318862
355-R,1107374,1107374,3322122,3322122
356-L,876130,876130,2628390,2628390
356-R,865916,865916,2597748,2597748
358-R,738631,738631,2215893,2215893
359-L,606929,606929,1820787,1820787
359-R,329438,329438,988314,988314
36-L,1402924,1402924,4208772,4208772
36-R,1173617,1173617,3520851,3520851
360-L,937955,937955,2813865,2813865
360-R,1037420,1037420,3112260,3112260
361-L,807737,807737,2423211,2423211
361-R,880097,880097,2640291,2640291
362-L,850999,850999,2552997,2552997
362-R,825587,825587,2476761,2476761
363-L,887370,887370,2662110,2662110
363-R,921935,921935,2765805,2765805
364-L,716623,716623,2149869,2149869
364-R,667892,667892,2003676,2003676
365-L,1028780,1028780,3086340,3086340
365-R,1096768,1096768,3290304,3290304
366-L,1057862,1057862,3173586,3173586
366-R,1091365,1091365,3274095,3274095
367-L,897890,897890,2693670,2693670
367-R,964195,964195,2892585,2892585
369-L,992130,992130,2976390,2976390
369-R,1165282,1165282,3495846,3495846
37-L,984577,984577,2953731,2953731
37-R,920890,920890,2762670,2762670
384-L,767573,767573,2302719,2302719
384-R,958567,958567,2875701,2875701
385-L,910437,910437,2731311,2731311
385-R,878193,878193,2634579,2634579
386-L,820865,820865,2462595,2462595
387-L,1214950,1214950,3644850,3644850
387-R,1113636,1113636,3340908,3340908
388-L,928119,928119,2784357,2784357
388-R,905565,905565,2716695,2716695
389-L,1127938,1127938,3383814,3383814
389-R,1023133,1023133,3069399,3069399
